Country Name,Region,Happiness Score,Upper Bound of Happiness Score,Lower Bound of Happiness Score,Log GDP per Capita,Social Support Score,Healthy Life Expectancy,Freedom to Choose Score,Generosity Score,Perception of Corruption,Dystopia Residual Benchmark,Environmental Health (New),Biodiversity & Habitat (New),Forest Cover Loss (New),Rule of Law Index,Health & Pollution Exposure,Green Technology Progress,Social Stability Index,Environment-Health Composite Score,Happiness Range,Health & Environment Composite,Happiness to Corruption Ratio,Regional Insights,Unnamed: 24,Unnamed: 25
Finland,Western Europe,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,68.1,59.1,31.6,97,81.9,56.9,0.857666667,34.3975,0.148,68.795,14.17765568,High Happiness in Western Europe,,
Denmark,Western Europe,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881,62.7,53.1,45.9,93.8,59,56.9,0.849,31.6995,0.165,63.399,13.83759124,High Happiness in Western Europe,,
Iceland,Western Europe,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,60.4,54.8,,62.5,100,35.8,0.898,30.559,0.185,61.118,41.34615385,High Happiness in Western Europe,,
Sweden,Western Europe,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,66.8,60,33.3,97.5,77.1,53.1,0.853333333,33.762,0.155,67.524,14.01526718,High Happiness in Western Europe,,
Israel,Middle East and North Africa,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,42,29.6,,10.7,33.3,41,0.769,21.37,0.128,42.74,38.03626943,High Happiness in Middle East and North Africa,,
Netherlands,Western Europe,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,66.7,60.5,64.1,69.6,51.1,47.9,0.811333333,33.703,0.127,67.406,19.67473118,High Happiness in Western Europe,,
Norway,Western Europe,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,72.2,71.6,53.3,83.8,85.1,40.3,0.858666667,36.452,0.174,72.904,15.08677686,High Happiness in Western Europe,,
Luxembourg,Western Europe,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,83.1,84.8,51,93.2,52.9,48.4,0.767333333,41.904,0.182,83.808,16.48611111,High Happiness in Western Europe,,
Switzerland,Western Europe,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,68.6,59.8,72.3,88.3,48.2,53.7,0.785666667,34.6735,0.174,69.347,14.17670683,High Happiness in Western Europe,,
Australia,North America and ANZ,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,62.5,55.2,20.1,39.5,94.9,30.2,0.814,31.596,0.168,63.192,21.84829721,High Happiness in North America and ANZ,,
